m,exact_result,exact_error,approx_result,approx_erro sigma 60
5,0.151131,1.53055e-05,0.114722,1.37149e-05
10,0.116377,9.98163e-06,0.0965932,9.22191e-06
15,0.10095,8.12643e-06,0.0870798,7.63806e-06
20,0.0921444,7.14003e-06,0.081292,6.79168e-06
25,0.0864741,6.50548e-06,0.0774502,6.2419e-06
30,0.0834571,5.96323e-06,0.0757767,5.75282e-06
35,0.0809413,5.57146e-06,0.0742343,5.40081e-06
40,0.0788811,5.27281e-06,0.072872,5.12975e-06
45,0.0771904,5.03273e-06,0.0717464,4.91263e-06
50,0.076123,4.79765e-06,0.0711745,4.6937e-06
55,0.075154,4.60551e-06,0.0705938,4.51563e-06
60,0.0742823,4.44495e-06,0.0700418,4.36647e-06
65,0.0735061,4.30622e-06,0.0695531,4.23755e-06
70,0.0729955,4.16561e-06,0.0692933,4.104e-06
75,0.0724951,4.04398e-06,0.0690171,3.98933e-06
80,0.0720376,3.9383e-06,0.0687474,3.88882e-06
85,0.0716163,3.84289e-06,0.0684787,3.79855e-06
90,0.0713111,3.74507e-06,0.0683503,3.70521e-06
95,0.0710281,3.65816e-06,0.068207,3.62197e-06
100,0.070755,3.58001e-06,0.0680523,3.54723e-06
105,0.0705009,3.50849e-06,0.0679145,3.47885e-06
110,0.0703157,3.43535e-06,0.0678381,3.40812e-06
115,0.0701294,3.36877e-06,0.0677589,3.34371e-06
sigma 30
m,exact_result,exact_error,approx_result,approx_erro
5,0.128571,1.43715e-05,0.1189,1.39196e-05
10,0.104658,9.54845e-06,0.099562,9.34583e-06
15,0.0928511,7.8511e-06,0.0893291,7.72284e-06
20,0.085848,6.94292e-06,0.0831027,6.85217e-06
25,0.0812665,6.35697e-06,0.0789896,6.28863e-06
30,0.0790496,5.84566e-06,0.0771248,5.79258e-06
35,0.0770964,5.4755e-06,0.0754099,5.43119e-06
40,0.0754507,5.19272e-06,0.0739386,5.15568e-06
45,0.0740889,4.96575e-06,0.0727115,4.9351e-06
50,0.0733126,4.74042e-06,0.0720593,4.71294e-06
55,0.072564,4.55569e-06,0.0714212,4.53294e-06
60,0.0718762,4.4011e-06,0.0708091,4.38095e-06
65,0.0712639,4.26821e-06,0.0702714,4.251e-06
70,0.0708923,4.13141e-06,0.0699669,4.11568e-06
75,0.0705203,4.01357e-06,0.0696509,3.99998e-06
80,0.0701742,3.91066e-06,0.0693387,3.89768e-06
85,0.0698468,3.81827e-06,0.0690564,3.80703e-06
90,0.069642,3.72256e-06,0.068893,3.71235e-06
95,0.0694335,3.63849e-06,0.0687198,3.62871e-06
100,0.0692263,3.56202e-06,0.06855,3.55331e-06
105,0.0690419,3.49225e-06,0.0683832,3.48435e-06
110,0.0689125,3.42002e-06,0.0682886,3.41294e-06
115,0.0687901,3.35459e-06,0.0681912,3.34832e-06
